"","year","month","Cop_biom"
"1",1980,1,1.26714757655376
"2",1980,2,1.16368920146142
"3",1980,3,2.61814396017886
"4",1980,4,7.48016428808619
"5",1980,5,8.92497371264031
"6",1980,6,8.57530231535823
"7",1980,7,8.43170540901732
"8",1980,8,7.0602656687217
"9",1980,9,5.45219926789519
"10",1980,10,5.13094250374847
"11",1980,11,3.70951711245533
"12",1980,12,2.40367467746068
"13",1981,1,1.44723095886094
"14",1981,2,1.20017191789214
"15",1981,3,2.23532311751845
"16",1981,4,4.95242529842237
"17",1981,5,7.17660847832568
"18",1981,6,7.07958517742304
"19",1981,7,6.87945260635793
"20",1981,8,5.68322055335318
"21",1981,9,4.45276951767961
"22",1981,10,3.25630920216333
"23",1981,11,2.85720505343338
"24",1981,12,1.85748051182282
"25",1982,1,1.16376313557214
"26",1982,2,1.32768371677876
"27",1982,3,2.72444616590761
"28",1982,4,4.66148367160994
"29",1982,5,6.41646074237415
"30",1982,6,6.46872456648366
"31",1982,7,6.51642034928435
"32",1982,8,5.82686562501034
"33",1982,9,5.00718172332825
"34",1982,10,4.42135910945988
"35",1982,11,3.31020062202187
"36",1982,12,2.02225842189478
"37",1983,1,1.17045234392283
"38",1983,2,0.958978314115014
"39",1983,3,1.60706592460561
"40",1983,4,5.6644065572385
"41",1983,5,7.59844244203242
"42",1983,6,7.05799143502056
"43",1983,7,6.99622261588437
"44",1983,8,5.80269658550083
"45",1983,9,4.89684525413351
"46",1983,10,4.00398278109116
"47",1983,11,3.6996386616738
"48",1983,12,2.25529400746087
"49",1984,1,1.36138141383783
"50",1984,2,1.19850427805831
"51",1984,3,2.66202309216926
"52",1984,4,5.59570906745947
"53",1984,5,7.36079506219296
"54",1984,6,7.28914577483419
"55",1984,7,6.90888145467569
"56",1984,8,5.38402727996276
"57",1984,9,4.32622754715782
"58",1984,10,3.44461874720187
"59",1984,11,2.81923909302418
"60",1984,12,1.62704977521532
"61",1985,1,1.00597027213177
"62",1985,2,1.12058816153807
"63",1985,3,3.42017529062478
"64",1985,4,7.0235733501573
"65",1985,5,9.03393479114631
"66",1985,6,8.32757255430669
"67",1985,7,6.97624726497422
"68",1985,8,5.97163407787625
"69",1985,9,4.66395090846508
"70",1985,10,3.68501257324099
"71",1985,11,2.8174184953753
"72",1985,12,1.82726948500746
"73",1986,1,1.17484603297788
"74",1986,2,1.03932902165806
"75",1986,3,1.46290225153416
"76",1986,4,4.89842632871193
"77",1986,5,7.68949963507566
"78",1986,6,7.05492039711333
"79",1986,7,6.98925525495757
