"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",1980,3.77664879834226
"Bottom","no","ssp126","Mean temp Feb to April",1981,3.18186352986328
"Bottom","no","ssp126","Mean temp Feb to April",1982,4.28742590907353
"Bottom","no","ssp126","Mean temp Feb to April",1983,4.26553793933194
"Bottom","no","ssp126","Mean temp Feb to April",1984,3.93326075940642
"Bottom","no","ssp126","Mean temp Feb to April",1985,3.4069291284279
"Bottom","no","ssp126","Mean temp Feb to April",1986,3.82424317458752
"Bottom","no","ssp126","Mean temp Feb to April",1987,3.64590405393026
"Bottom","no","ssp126","Mean temp Feb to April",1988,2.85462190572541
"Bottom","no","ssp126","Mean temp Feb to April",1989,3.8173084342435
"Bottom","no","ssp126","Mean temp Feb to April",1990,2.54838104871017
"Bottom","no","ssp126","Mean temp Feb to April",1991,2.85285890663247
"Bottom","no","ssp126","Mean temp Feb to April",1992,3.33642171913231
"Bottom","no","ssp126","Mean temp Feb to April",1993,1.86801060508612
"Bottom","no","ssp126","Mean temp Feb to April",1994,2.92774698232135
"Bottom","no","ssp126","Mean temp Feb to April",1995,2.659112987726
"Bottom","no","ssp126","Mean temp Feb to April",1996,2.05576802046836
"Bottom","no","ssp126","Mean temp Feb to April",1997,2.62153532549251
"Bottom","no","ssp126","Mean temp Feb to April",1998,4.51517652112763
"Bottom","no","ssp126","Mean temp Feb to April",1999,2.29590543596074
"Bottom","no","ssp126","Mean temp Feb to April",2000,4.4935268202028
"Bottom","no","ssp126","Mean temp Feb to April",2001,4.23986631762872
"Bottom","no","ssp126","Mean temp Feb to April",2002,4.91165536772314
"Bottom","no","ssp126","Mean temp Feb to April",2003,4.06036018322598
"Bottom","no","ssp126","Mean temp Feb to April",2004,4.7367774974891
"Bottom","no","ssp126","Mean temp Feb to April",2005,3.60082152688079
"Bottom","no","ssp126","Mean temp Feb to April",2006,3.7101936425828
"Bottom","no","ssp126","Mean temp Feb to April",2007,3.13672952189962
"Bottom","no","ssp126","Mean temp Feb to April",2008,2.35735513242755
"Bottom","no","ssp126","Mean temp Feb to April",2009,3.79880362824438
"Bottom","no","ssp126","Mean temp Feb to April",2010,4.08397710938447
"Bottom","no","ssp126","Mean temp Feb to April",2011,4.31511064209749
"Bottom","no","ssp126","Mean temp Feb to April",2012,4.34867418646456
"Bottom","no","ssp126","Mean temp Feb to April",2013,4.19779379644025
"Bottom","no","ssp126","Mean temp Feb to April",2014,2.74329840585855
"Bottom","no","ssp126","Mean temp Feb to April",2015,2.20239192522419
"Bottom","no","ssp126","Mean temp Feb to April",2016,2.30214389057307
"Bottom","no","ssp126","Mean temp Feb to April",2017,5.81353106003863
"Bottom","no","ssp126","Mean temp Feb to April",2018,2.85593781049842
"Bottom","no","ssp126","Mean temp Feb to April",2019,3.53022977334351
"Bottom","no","ssp126","Mean temp Feb to April",2020,4.23060779863304
"Bottom","no","ssp126","Mean temp Feb to April",2021,4.53945123611047
"Bottom","no","ssp126","Mean temp Feb to April",2022,2.52096342267732
"Bottom","no","ssp126","Mean temp Feb to April",2023,1.67185378097866
"Bottom","no","ssp126","Mean temp Feb to April",2024,2.59205984064802
"Bottom","no","ssp126","Mean temp Feb to April",2025,3.08041399246656
"Bottom","no","ssp126","Mean temp Feb to April",2026,5.89081224983393
"Bottom","no","ssp126","Mean temp Feb to April",2027,5.15837441325445
"Bottom","no","ssp126","Mean temp Feb to April",2028,3.8641257764839
"Bottom","no","ssp126","Mean temp Feb to April",2029,5.37650147183887
"Bottom","no","ssp126","Mean temp Feb to April",2030,5.49860877779303
"Bottom","no","ssp126","Mean temp Feb to April",2031,5.8875336454116
"Bottom","no","ssp126","Mean temp Feb to April",2032,3.78928887520363
"Bottom","no","ssp126","Mean temp Feb to April",2033,4.58909533517771
"Bottom","no","ssp126","Mean temp Feb to April",2034,3.65670537413715
"Bottom","no","ssp126","Mean temp Feb to April",2035,4.43505179814153
"Bottom","no","ssp126","Mean temp Feb to April",2036,3.69735858075896
"Bottom","no","ssp126","Mean temp Feb to April",2037,4.76414449719682
"Bottom","no","ssp126","Mean temp Feb to April",2038,4.98633180389873
"Bottom","no","ssp126","Mean temp Feb to April",2039,4.64983815641001
"Bottom","no","ssp126","Mean temp Feb to April",2040,4.32884416059896
"Bottom","no","ssp126","Mean temp Feb to April",2041,5.29265250639559
"Bottom","no","ssp126","Mean temp Feb to April",2042,6.1969859130723
"Bottom","no","ssp126","Mean temp Feb to April",2043,5.88891143117443
"Bottom","no","ssp126","Mean temp Feb to April",2044,3.59271348654686
"Bottom","no","ssp126","Mean temp Feb to April",2045,4.99114768637411
"Bottom","no","ssp126","Mean temp Feb to April",2046,5.67066130218811
"Bottom","no","ssp126","Mean temp Feb to April",2047,5.21426655539839
"Bottom","no","ssp126","Mean temp Feb to April",2048,5.01401993152651
"Bottom","no","ssp126","Mean temp Feb to April",2049,4.5093356450136
"Bottom","no","ssp126","Mean temp Feb to April",2050,5.4486057237747
"Bottom","no","ssp126","Mean temp Feb to April",2051,4.26476943423528
"Bottom","no","ssp126","Mean temp Feb to April",2052,6.17885721016998
"Bottom","no","ssp126","Mean temp Feb to April",2053,4.94849486266011
"Bottom","no","ssp126","Mean temp Feb to April",2054,4.59911932278679
"Bottom","no","ssp126","Mean temp Feb to April",2055,5.57638546535983
"Bottom","no","ssp126","Mean temp Feb to April",2056,5.7116251912412
"Bottom","no","ssp126","Mean temp Feb to April",2057,4.56923018148151
"Bottom","no","ssp126","Mean temp Feb to April",2058,5.38303360878211
"Bottom","no","ssp126","Mean temp Feb to April",2059,5.71925643652976
"Bottom","no","ssp126","Mean temp Feb to April",2060,4.3877543993065
