"depthclass","hind","simulation","varname","year","month","date","unit","value_dc_610","value_dc_620","value_dc_630","value_610","value_620","value_630","value_dc_610_to_630"
"Bottom","no","ssp126","temp",1980,1,1980-01-23,"Celsius",3.77445069660385,4.50156136083444,4.02493408730962,3.59898338325093,4.35224643316522,3.96071077012537,4.09591050080021
"Bottom","no","ssp126","temp",1980,2,1980-02-15,"Celsius",3.87439846647031,4.18877937191539,3.90874615976108,3.63172497488252,4.05278664639279,3.71313795223247,3.98000716469959
"Bottom","no","ssp126","temp",1980,3,1980-03-16,"Celsius",3.54062536240302,3.64506009654459,3.74560113820249,3.41533891903203,3.71007222599656,3.58592080007552,3.66307842926132
"Bottom","no","ssp126","temp",1980,4,1980-04-15,"Celsius",3.36079883373029,3.55788359080695,3.95803030165949,3.2863856374934,3.6553869946944,3.74421369869748,3.68686080106588
"Bottom","no","ssp126","temp",1980,5,1980-05-16,"Celsius",3.69479442153277,4.13036465911394,4.88122842795994,3.47146093864753,3.96578393246513,4.39965050095882,4.35516019937641
"Bottom","no","ssp126","temp",1980,6,1980-06-15,"Celsius",4.26348797780985,4.71822913300791,5.55362261850258,3.81245761734443,4.26586559483007,5.08782303819301,4.97615621809896
"Bottom","no","ssp126","temp",1980,7,1980-07-16,"Celsius",4.74430316482646,5.18318275352087,6.26610244480642,4.10925666727913,4.54146393640091,5.84092046809507,5.55699291900081
"Bottom","no","ssp126","temp",1980,8,1980-08-16,"Celsius",5.14719176385993,5.59402992621239,6.70529952724178,4.37670966990453,4.81086013471291,6.37859912499458,5.97855127189704
"Bottom","no","ssp126","temp",1980,9,1980-09-15,"Celsius",5.41704092766843,5.84087537329178,6.44037007203837,4.53212503762432,5.00213961675182,6.29554816054411,6.00042165177596
"Bottom","no","ssp126","temp",1980,10,1980-10-16,"Celsius",5.51180075353375,6.04849167381206,5.47704150145488,4.60438702891858,5.25913179198227,5.84079640843258,5.64993279321902
"Bottom","no","ssp126","temp",1980,11,1980-11-15,"Celsius",5.13424505457469,5.51216781572308,3.91773327063996,4.50655101102386,5.12515136274504,4.85030608666269,4.69345892362816
"Bottom","no","ssp126","temp",1980,12,1980-12-16,"Celsius",4.8325489854064,4.72328638163089,3.21400282392836,4.2959987261058,4.57824406192677,3.99157417102762,4.07066195092248
"Bottom","no","ssp126","temp",1981,1,1981-01-16,"Celsius",4.33015924438572,3.93042243144054,2.81810407866807,3.99988589201194,3.98217790161634,3.40874849613875,3.53308648737459
"Bottom","no","ssp126","temp",1981,2,1981-02-14,"Celsius",3.86677961183621,3.42883145916409,2.82014715961331,3.62593863936191,3.65232252235249,3.18688273050444,3.26883521555864
"Bottom","no","ssp126","temp",1981,3,1981-03-16,"Celsius",3.41844887998052,3.12203509281229,2.78064614640871,3.32429990547791,3.3639219936514,2.97466099112178,3.04560527230542
"Bottom","no","ssp126","temp",1981,4,1981-04-15,"Celsius",3.41262552333875,3.04513573984412,3.24392137372253,3.32811049294512,3.2601316917071,3.2794358459023,3.23115010172578
"Bottom","no","ssp126","temp",1981,5,1981-05-16,"Celsius",3.76874703766262,3.65789718088852,4.47479674828658,3.53413578752449,3.59484563480624,4.14562725329933,4.05566940022681
"Bottom","no","ssp126","temp",1981,6,1981-06-15,"Celsius",4.22537567654749,4.27088737421821,5.70514640403709,3.78151659681224,3.91820390984519,5.17220992766798,4.9063512500922
"Bottom","no","ssp126","temp",1981,7,1981-07-16,"Celsius",4.71170429946071,4.8822471846675,6.87481983996948,4.08061531559241,4.30183406406328,6.16155367685342,5.73695990419109
"Bottom","no","ssp126","temp",1981,8,1981-08-16,"Celsius",5.09047704228281,5.38080536923362,7.62107623856131,4.33228822236666,4.66486968951833,6.80481269905628,6.31593737926447
"Bottom","no","ssp126","temp",1981,9,1981-09-15,"Celsius",5.39613537431896,6.05544325241459,7.89612738797834,4.51849162332197,5.12229430873215,6.8800386706435,6.71353397610638
"Bottom","no","ssp126","temp",1981,10,1981-10-16,"Celsius",5.60968179018584,6.42270506879824,6.85967590712,4.6570089535069,5.43247733819452,6.32363103087648,6.40691918406684
"Bottom","no","ssp126","temp",1981,11,1981-11-15,"Celsius",5.45755124061865,6.25230555619443,6.16623716227425,4.68692051219885,5.49727634292366,5.66020220295947,6.00521959573571
"Bottom","no","ssp126","temp",1981,12,1981-12-16,"Celsius",5.30426857142167,6.26010292400908,6.93277364921109,4.54679804446663,5.42191764500238,5.29580708265555,6.31328754506814
"Bottom","no","ssp126","temp",1982,1,1982-01-16,"Celsius",4.69630722066592,5.37778969376105,5.1861302312666,4.26403450526328,4.91999714280742,4.49180169392868,5.11272139206479
"Bottom","no","ssp126","temp",1982,2,1982-02-14,"Celsius",4.31311210157235,4.82478068512867,4.21664914175645,3.96491735248822,4.38793554871998,3.86198573919415,4.41622095818957
"Bottom","no","ssp126","temp",1982,3,1982-03-16,"Celsius",4.04835441195694,4.36063766168637,3.8968180363602,3.79366992764884,4.18365826618057,3.68171056546824,4.06945848873823
"Bottom","no","ssp126","temp",1982,4,1982-04-15,"Celsius",4.16673278994357,4.42003648459576,4.47083890118372,3.93523043311278,4.31998364315616,4.07797521666413,4.37659828029277
"Bottom","no","ssp126","temp",1982,5,1982-05-16,"Celsius",4.5795508877583,5.02576703680516,5.64811148416204,4.22129212401399,4.66877207240657,4.87895891674977,5.18976279709175
"Bottom","no","ssp126","temp",1982,6,1982-06-15,"Celsius",5.23365267777325,5.69610561200469,6.64931431642578,4.60007434231029,5.02584424139081,5.69803755920119,6.00519093949421
"Bottom","no","ssp126","temp",1982,7,1982-07-16,"Celsius",5.71025528968945,6.25521086551515,7.81939784686793,4.95794186568489,5.39510167885303,6.65909667411455,6.81845961961408
"Bottom","no","ssp126","temp",1982,8,1982-08-16,"Celsius",6.29153112193531,6.96267789990788,8.54452455189619,5.2730062459381,5.74794510196816,7.23459672962045,7.50083391129956
"Bottom","no","ssp126","temp",1982,9,1982-09-15,"Celsius",6.92439412763765,7.76279414132368,8.60159693360657,5.51513516568041,6.07838438613743,7.16328660631854,7.92173606785661
"Bottom","no","ssp126","temp",1982,10,1982-10-16,"Celsius",7.42018330237453,8.21316930707158,7.40349090075605,5.63035452993418,6.26186774889442,6.51353857697525,7.63992724344445
"Bottom","no","ssp126","temp",1982,11,1982-11-15,"Celsius",6.75199258245309,6.81301426118315,4.83787782964751,5.40907724536823,5.7791883497307,5.1817360243846,5.90549863306849
"Bottom","no","ssp126","temp",1982,12,1982-12-16,"Celsius",6.06329958192693,5.49724779740765,4.86679977629771,4.95035232903111,5.00312939000906,4.57123672158411,5.3609929143372
"Bottom","no","ssp126","temp",1983,1,1983-01-16,"Celsius",4.95390791440191,4.88992831815181,4.84845248639065,4.44987430346245,4.60388816550006,4.33735958145071,4.8879707240449
"Bottom","no","ssp126","temp",1983,2,1983-02-14,"Celsius",3.87836940131912,3.88967640808649,4.54257601557433,3.63474080370052,3.89517057245168,4.01954671364376,4.18141633360736
"Bottom","no","ssp126","temp",1983,3,1983-03-16,"Celsius",3.53024503712431,3.84507151830165,4.49920461035602,3.40760408696773,3.84244448280806,4.06329800246621,4.05784182300516
"Bottom","no","ssp126","temp",1983,4,1983-04-15,"Celsius",3.80299781706558,4.19688384188335,5.22413519104672,3.64239310777469,4.14796485216155,4.5682581670994,4.55735566138329
"Bottom","no","ssp126","temp",1983,5,1983-05-16,"Celsius",4.18447637197816,4.84421412920765,6.36883095487347,3.88646643606023,4.52623331665519,5.32941469999157,5.35952735561684
"Bottom","no","ssp126","temp",1983,6,1983-06-15,"Celsius",4.81477157668186,5.52518882808872,7.22928398107626,4.26001067991963,4.89301242785928,6.02103527086111,6.10823533109216
"Bottom","no","ssp126","temp",1983,7,1983-07-16,"Celsius",5.31379599513392,6.05115755780646,7.805172459384,4.60961286841974,5.23261750238093,6.65160365408416,6.6496767945842
"Bottom","no","ssp126","temp",1983,8,1983-08-16,"Celsius",5.71728777806993,6.76425695299112,8.23007603656782,4.82323377303963,5.61209038248014,7.0882485817369,7.15157025699969
