"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",1980,6.56225014192782
"Bottom","no","ssp126","Mean temp Feb to April",1981,6.47392015014643
"Bottom","no","ssp126","Mean temp Feb to April",1982,7.22106388398098
"Bottom","no","ssp126","Mean temp Feb to April",1983,7.14386919242465
"Bottom","no","ssp126","Mean temp Feb to April",1984,6.83078856557499
"Bottom","no","ssp126","Mean temp Feb to April",1985,6.24933497175383
"Bottom","no","ssp126","Mean temp Feb to April",1986,7.08274635570307
"Bottom","no","ssp126","Mean temp Feb to April",1987,6.78990737024073
"Bottom","no","ssp126","Mean temp Feb to April",1988,6.30741089159902
"Bottom","no","ssp126","Mean temp Feb to April",1989,6.64739432661883
"Bottom","no","ssp126","Mean temp Feb to April",1990,6.33056003018805
"Bottom","no","ssp126","Mean temp Feb to April",1991,6.69294179046774
"Bottom","no","ssp126","Mean temp Feb to April",1992,6.42964210009223
"Bottom","no","ssp126","Mean temp Feb to April",1993,5.81294291799952
"Bottom","no","ssp126","Mean temp Feb to April",1994,6.55123675056622
"Bottom","no","ssp126","Mean temp Feb to April",1995,6.04212137341638
"Bottom","no","ssp126","Mean temp Feb to April",1996,5.96328332087641
"Bottom","no","ssp126","Mean temp Feb to April",1997,5.95477380949676
"Bottom","no","ssp126","Mean temp Feb to April",1998,7.22470206984383
"Bottom","no","ssp126","Mean temp Feb to April",1999,6.62450705841181
"Bottom","no","ssp126","Mean temp Feb to April",2000,7.32338977963972
"Bottom","no","ssp126","Mean temp Feb to April",2001,6.97319800705078
"Bottom","no","ssp126","Mean temp Feb to April",2002,7.43153881638742
"Bottom","no","ssp126","Mean temp Feb to April",2003,6.89076478215637
"Bottom","no","ssp126","Mean temp Feb to April",2004,7.47839714086728
"Bottom","no","ssp126","Mean temp Feb to April",2005,6.89433670650499
"Bottom","no","ssp126","Mean temp Feb to April",2006,6.87161745490126
"Bottom","no","ssp126","Mean temp Feb to April",2007,6.37010350786384
"Bottom","no","ssp126","Mean temp Feb to April",2008,5.94345249423288
"Bottom","no","ssp126","Mean temp Feb to April",2009,6.97341695305762
"Bottom","no","ssp126","Mean temp Feb to April",2010,6.99779082999575
"Bottom","no","ssp126","Mean temp Feb to April",2011,7.23828016649497
"Bottom","no","ssp126","Mean temp Feb to April",2012,7.29753548473554
"Bottom","no","ssp126","Mean temp Feb to April",2013,7.12020587072303
"Bottom","no","ssp126","Mean temp Feb to April",2014,5.98988490848664
"Bottom","no","ssp126","Mean temp Feb to April",2015,5.36086007334353
"Bottom","no","ssp126","Mean temp Feb to April",2016,6.14115917423376
"Bottom","no","ssp126","Mean temp Feb to April",2017,8.22514194192313
"Bottom","no","ssp126","Mean temp Feb to April",2018,6.09243860512783
"Bottom","no","ssp126","Mean temp Feb to April",2019,6.8557915522064
"Bottom","no","ssp126","Mean temp Feb to April",2020,7.25109856290111
"Bottom","no","ssp126","Mean temp Feb to April",2021,7.6523855090463
"Bottom","no","ssp126","Mean temp Feb to April",2022,6.24144207272648
"Bottom","no","ssp126","Mean temp Feb to April",2023,5.81164969505041
"Bottom","no","ssp126","Mean temp Feb to April",2024,6.35248445219797
"Bottom","no","ssp126","Mean temp Feb to April",2025,6.60254334847474
"Bottom","no","ssp126","Mean temp Feb to April",2026,7.91021429612884
"Bottom","no","ssp126","Mean temp Feb to April",2027,7.56956396917977
"Bottom","no","ssp126","Mean temp Feb to April",2028,6.92690254061427
"Bottom","no","ssp126","Mean temp Feb to April",2029,7.89617238958036
"Bottom","no","ssp126","Mean temp Feb to April",2030,8.11975859622115
"Bottom","no","ssp126","Mean temp Feb to April",2031,8.14875580311497
"Bottom","no","ssp126","Mean temp Feb to April",2032,6.92821974273031
"Bottom","no","ssp126","Mean temp Feb to April",2033,7.42793368359803
"Bottom","no","ssp126","Mean temp Feb to April",2034,7.13232934233846
"Bottom","no","ssp126","Mean temp Feb to April",2035,7.36757626268441
"Bottom","no","ssp126","Mean temp Feb to April",2036,7.03461855940973
"Bottom","no","ssp126","Mean temp Feb to April",2037,7.55303669006798
"Bottom","no","ssp126","Mean temp Feb to April",2038,7.65136950130388
"Bottom","no","ssp126","Mean temp Feb to April",2039,7.78230699821699
"Bottom","no","ssp126","Mean temp Feb to April",2040,7.00865965468079
"Bottom","no","ssp126","Mean temp Feb to April",2041,7.92657823147629
"Bottom","no","ssp126","Mean temp Feb to April",2042,8.50506713283137
"Bottom","no","ssp126","Mean temp Feb to April",2043,8.15401071800828
"Bottom","no","ssp126","Mean temp Feb to April",2044,6.64116498369649
"Bottom","no","ssp126","Mean temp Feb to April",2045,7.81520595143184
"Bottom","no","ssp126","Mean temp Feb to April",2046,8.26438082694611
"Bottom","no","ssp126","Mean temp Feb to April",2047,8.0622110979374
