"depthclass","hind","simulation","varname","year","mean_value_dc_630_to_640"
"Bottom","no","ssp126","Mean temp Feb to April",1980,4.77712667108274
"Bottom","no","ssp126","Mean temp Feb to April",1981,4.10068728722718
"Bottom","no","ssp126","Mean temp Feb to April",1982,4.87330708846825
"Bottom","no","ssp126","Mean temp Feb to April",1983,5.37141318727265
"Bottom","no","ssp126","Mean temp Feb to April",1984,4.83503177336713
"Bottom","no","ssp126","Mean temp Feb to April",1985,4.47921680510989
"Bottom","no","ssp126","Mean temp Feb to April",1986,4.6426187233772
"Bottom","no","ssp126","Mean temp Feb to April",1987,4.4691154423372
"Bottom","no","ssp126","Mean temp Feb to April",1988,4.18478886480323
"Bottom","no","ssp126","Mean temp Feb to April",1989,4.36477915245125
"Bottom","no","ssp126","Mean temp Feb to April",1990,3.63456905750536
"Bottom","no","ssp126","Mean temp Feb to April",1991,4.07801701314915
"Bottom","no","ssp126","Mean temp Feb to April",1992,4.11554992926824
"Bottom","no","ssp126","Mean temp Feb to April",1993,3.38375615586404
"Bottom","no","ssp126","Mean temp Feb to April",1994,3.83667203079934
"Bottom","no","ssp126","Mean temp Feb to April",1995,3.72520983681813
"Bottom","no","ssp126","Mean temp Feb to April",1996,3.47271468188215
"Bottom","no","ssp126","Mean temp Feb to April",1997,3.69324389558522
"Bottom","no","ssp126","Mean temp Feb to April",1998,5.22365749693439
"Bottom","no","ssp126","Mean temp Feb to April",1999,3.69411498894822
"Bottom","no","ssp126","Mean temp Feb to April",2000,4.94645244824675
"Bottom","no","ssp126","Mean temp Feb to April",2001,4.85131545218768
"Bottom","no","ssp126","Mean temp Feb to April",2002,5.33967614215857
"Bottom","no","ssp126","Mean temp Feb to April",2003,4.5586973856504
"Bottom","no","ssp126","Mean temp Feb to April",2004,5.41479373171732
"Bottom","no","ssp126","Mean temp Feb to April",2005,4.33657396701881
"Bottom","no","ssp126","Mean temp Feb to April",2006,4.64427373302706
"Bottom","no","ssp126","Mean temp Feb to April",2007,3.95626868842025
"Bottom","no","ssp126","Mean temp Feb to April",2008,3.38726854132119
"Bottom","no","ssp126","Mean temp Feb to April",2009,4.58456087020806
"Bottom","no","ssp126","Mean temp Feb to April",2010,4.85026347870571
"Bottom","no","ssp126","Mean temp Feb to April",2011,4.91493332379698
"Bottom","no","ssp126","Mean temp Feb to April",2012,4.94728361356373
"Bottom","no","ssp126","Mean temp Feb to April",2013,4.77592079376735
"Bottom","no","ssp126","Mean temp Feb to April",2014,3.71428012047348
"Bottom","no","ssp126","Mean temp Feb to April",2015,3.25629102208358
"Bottom","no","ssp126","Mean temp Feb to April",2016,3.62496773822109
"Bottom","no","ssp126","Mean temp Feb to April",2017,6.34961658417505
"Bottom","no","ssp126","Mean temp Feb to April",2018,3.78970695724625
"Bottom","no","ssp126","Mean temp Feb to April",2019,4.26208865968496
"Bottom","no","ssp126","Mean temp Feb to April",2020,4.97424428504574
"Bottom","no","ssp126","Mean temp Feb to April",2021,5.39230784908365
