"depthclass","hind","simulation","varname","year","month","date","unit","value_dc_630","value_dc_640","value_630","value_640","value_dc_630_to_640"
"Bottom","no","ssp126","temp",1980,1,1980-01-23,"Celsius",4.65344823368287,6.86435958474724,3.88478939947517,6.36602834123623,5.20238584288309
"Bottom","no","ssp126","temp",1980,2,1980-02-15,"Celsius",4.34934860715494,6.35334590338061,3.53369698233548,5.84358523959532,4.84691242132788
"Bottom","no","ssp126","temp",1980,3,1980-03-16,"Celsius",4.14583514235553,6.15803939851447,3.39634145554512,5.82197633500861,4.64543662708564
"Bottom","no","ssp126","temp",1980,4,1980-04-15,"Celsius",4.40422469817674,6.15545852576711,3.62574275274112,5.8916883953035,4.8390309648347
"Bottom","no","ssp126","temp",1980,5,1980-05-16,"Celsius",5.58156523684947,6.23235608943212,4.47238650915488,5.84622607876682,5.74314728062256
"Bottom","no","ssp126","temp",1980,6,1980-06-15,"Celsius",6.74323526820612,6.446211845002,5.39704646955612,5.9725162528498,6.66948860815499
"Bottom","no","ssp126","temp",1980,7,1980-07-16,"Celsius",7.76443248000231,6.59785595003431,6.36888707145876,6.10127747879743,7.47478824302219
"Bottom","no","ssp126","temp",1980,8,1980-08-16,"Celsius",8.33528402195135,6.7430984534285,7.024295831622,6.19475546113542,7.93996715908063
"Bottom","no","ssp126","temp",1980,9,1980-09-15,"Celsius",8.56083333294241,6.99258868941005,6.90080428946935,6.27315713336438,8.17146065870684
"Bottom","no","ssp126","temp",1980,10,1980-10-16,"Celsius",7.72883460473951,7.64066862061696,6.27905287033612,6.56841973309338,7.70694425417719
"Bottom","no","ssp126","temp",1980,11,1980-11-15,"Celsius",5.9846378298599,7.44370346519987,4.99612875032294,6.58913634362932,6.34690292074387
"Bottom","no","ssp126","temp",1980,12,1980-12-16,"Celsius",4.20204589891471,6.54055018852748,3.85979026077565,6.21025940760135,4.78266300652805
"Bottom","no","ssp126","temp",1981,1,1981-01-16,"Celsius",3.61532081238993,6.26909913600752,3.13304127639687,5.82053245333245,4.27421594521048
"Bottom","no","ssp126","temp",1981,2,1981-02-14,"Celsius",3.46661581156627,6.04575293861477,2.83963940640801,5.59711849849462,4.10697860478273
"Bottom","no","ssp126","temp",1981,3,1981-03-16,"Celsius",3.32591755890691,5.57058842311027,2.59933184948857,5.29957291220502,3.88323717149291
"Bottom","no","ssp126","temp",1981,4,1981-04-15,"Celsius",3.8541350434303,5.6976205712041,2.99866717190048,5.37347937773765,4.3118460854059
"Bottom","no","ssp126","temp",1981,5,1981-05-16,"Celsius",5.28775203299741,6.11702451346978,4.12886901524909,5.69926151910882,5.49364850758328
"Bottom","no","ssp126","temp",1981,6,1981-06-15,"Celsius",6.79759620982721,6.57856978085986,5.45628749973219,6.11658188483746,6.74321508585717
"Bottom","no","ssp126","temp",1981,7,1981-07-16,"Celsius",8.07546324518977,6.77047744230027,6.7108614628374,6.31000718908227,7.75145396895464
"Bottom","no","ssp126","temp",1981,8,1981-08-16,"Celsius",8.80086999794803,7.13355666760387,7.51641108035336,6.54347409175477,8.38689998829288
"Bottom","no","ssp126","temp",1981,9,1981-09-15,"Celsius",9.07614228928451,7.90729225351091,7.59998394487405,6.95541432521561,8.78593357338902
"Bottom","no","ssp126","temp",1981,10,1981-10-16,"Celsius",8.31805514510784,8.07696518680822,6.88900974734694,6.94559371766265,8.25819596294413
"Bottom","no","ssp126","temp",1981,11,1981-11-15,"Celsius",7.11490531381133,7.95184080852816,6.00056722529578,6.95486757495254,7.32270440503382
"Bottom","no","ssp126","temp",1981,12,1981-12-16,"Celsius",7.01066377423314,7.47298436255112,5.52586176191604,6.72547146287383,7.12545135190474
"Bottom","no","ssp126","temp",1982,1,1982-01-16,"Celsius",5.45469454585806,7.01848666875802,4.46500277111594,6.5072701971675,5.842961723019
"Bottom","no","ssp126","temp",1982,2,1982-02-14,"Celsius",4.4778302115595,6.48331453728954,3.63471694143288,5.94772593627618,4.97576323385132
"Bottom","no","ssp126","temp",1982,3,1982-03-16,"Celsius",4.16539930640835,6.03110865765469,3.41535900925946,5.70910044193767,4.62862820531586
"Bottom","no","ssp126","temp",1982,4,1982-04-15,"Celsius",4.66650205916316,6.07225280228628,3.92472624945444,5.79751106511249,5.01552982623756
"Bottom","no","ssp126","temp",1982,5,1982-05-16,"Celsius",5.98499603258381,6.42601540784351,4.94406556951753,6.09300200475688,6.09449482426964
"Bottom","no","ssp126","temp",1982,6,1982-06-15,"Celsius",7.25620303399235,6.86473146249466,5.95606435971909,6.42805594378349,7.15900625202986
"Bottom","no","ssp126","temp",1982,7,1982-07-16,"Celsius",8.51318223478303,7.04075951507714,7.1921279541789,6.63682569821079,8.14760077123935
"Bottom","no","ssp126","temp",1982,8,1982-08-16,"Celsius",9.17403678975076,7.40156214479412,7.91084106328652,6.78283005767202,8.73395673249197
"Bottom","no","ssp126","temp",1982,9,1982-09-15,"Celsius",9.24097949931244,7.86936316235482,7.82363777872803,6.92712385359483,8.90042681619061
"Bottom","no","ssp126","temp",1982,10,1982-10-16,"Celsius",8.38159418210388,8.27275485657804,6.95478490269056,7.11485191405243,8.35457093709121
"Bottom","no","ssp126","temp",1982,11,1982-11-15,"Celsius",6.2684411750084,8.66148220380904,5.24833719057336,7.46563110119534,6.86259897352686
"Bottom","no","ssp126","temp",1982,12,1982-12-16,"Celsius",5.23362357821445,8.96707719869341,4.47172191149869,7.55102533286448,6.16058661700794
"Bottom","no","ssp126","temp",1983,1,1983-01-16,"Celsius",5.0199280826539,7.92035360884759,4.15017159915435,7.33373986821117,5.74006218176447
"Bottom","no","ssp126","temp",1983,2,1983-02-14,"Celsius",4.60763859945691,7.6280365181732,3.73678009745174,6.86496374211974,5.35756012459416
"Bottom","no","ssp126","temp",1983,3,1983-03-16,"Celsius",4.58966945583422,7.05696985002419,3.82777531972959,6.62136958549718,5.20226479074595
"Bottom","no","ssp126","temp",1983,4,1983-04-15,"Celsius",5.1376071839862,6.81634869228571,4.46176328921041,6.63972433355903,5.55441464647785
"Bottom","no","ssp126","temp",1983,5,1983-05-16,"Celsius",6.44322327650871,6.88177827244694,5.47981097649284,6.67377087179102,6.55211019812013
"Bottom","no","ssp126","temp",1983,6,1983-06-15,"Celsius",7.67477650725981,7.32754127711518,6.41221399622796,6.93180351283742,7.58856297501035
"Bottom","no","ssp126","temp",1983,7,1983-07-16,"Celsius",8.59225880324685,7.50683852383467,7.27907164078311,7.20039710053605,8.32276450042412
"Bottom","no","ssp126","temp",1983,8,1983-08-16,"Celsius",9.13615155596008,7.89936037953649,7.87079711391662,7.22741417049625,8.82907402834276
"Bottom","no","ssp126","temp",1983,9,1983-09-15,"Celsius",9.42087414585493,8.165080204833,8.06772178974846,7.14769266616094,9.1090785040709
"Bottom","no","ssp126","temp",1983,10,1983-10-16,"Celsius",8.94309064297117,8.52690565970565,7.536042011462,7.33456272207905,8.83975787497538
"Bottom","no","ssp126","temp",1983,11,1983-11-15,"Celsius",7.37476101431337,8.24908867580715,6.23149403441956,7.16881136384253,7.5918440447691
"Bottom","no","ssp126","temp",1983,12,1983-12-16,"Celsius",6.56556715784919,8.02666961072308,5.26183054772773,7.03140760574786,6.92833796134208
"Bottom","no","ssp126","temp",1984,1,1984-01-16,"Celsius",5.42510600752565,7.17966800681896,4.44357656880224,6.65497656218003,5.8607386115294
"Bottom","no","ssp126","temp",1984,2,1984-02-15,"Celsius",4.54004679916057,6.96305389965091,3.68363536180729,6.33212938747002,5.14164474390766
"Bottom","no","ssp126","temp",1984,3,1984-03-16,"Celsius",3.85216815127255,6.56517337384876,3.11087933398602,6.18402898477724,4.52576847446586
"Bottom","no","ssp126","temp",1984,4,1984-04-15,"Celsius",4.34136925752978,6.3403281237574,3.55409059274758,6.10093512069519,4.83768210172786
"Bottom","no","ssp126","temp",1984,5,1984-05-16,"Celsius",5.74650098525971,6.56910345882849,4.66522438780206,6.27533604666917,5.9507413927033
"Bottom","no","ssp126","temp",1984,6,1984-06-15,"Celsius",7.26451332355162,6.93200358909649,5.96512068030279,6.50127861359344,7.1819559208861
"Bottom","no","ssp126","temp",1984,7,1984-07-16,"Celsius",8.4768855611683,7.18867900547994,7.15222022073978,6.81568634859659,8.15704233159006
"Bottom","no","ssp126","temp",1984,8,1984-08-16,"Celsius",9.11312077816723,7.59520970714002,7.84645403331214,6.95577689375448,8.73624520877496
"Bottom","no","ssp126","temp",1984,9,1984-09-15,"Celsius",9.27015934736495,8.08434710280243,7.86322947581581,7.08747562793943,8.97573915807191
"Bottom","no","ssp126","temp",1984,10,1984-10-16,"Celsius",8.49305066330277,8.19508666265889,7.07016385256931,7.0477085431327,8.4190704713505
