"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",1980,5.50390013633227
"Bottom","no","ssp126","Mean temp Feb to April",1981,5.65308284451592
"Bottom","no","ssp126","Mean temp Feb to April",1982,6.77482815680262
"Bottom","no","ssp126","Mean temp Feb to April",1983,6.63649412755868
"Bottom","no","ssp126","Mean temp Feb to April",1984,6.17329163602262
"Bottom","no","ssp126","Mean temp Feb to April",1985,5.34595510514062
"Bottom","no","ssp126","Mean temp Feb to April",1986,6.38032856816872
"Bottom","no","ssp126","Mean temp Feb to April",1987,6.0284967555905
"Bottom","no","ssp126","Mean temp Feb to April",1988,5.42722670780386
"Bottom","no","ssp126","Mean temp Feb to April",1989,5.78039652183068
"Bottom","no","ssp126","Mean temp Feb to April",1990,5.4273436530325
"Bottom","no","ssp126","Mean temp Feb to April",1991,5.91776160599808
"Bottom","no","ssp126","Mean temp Feb to April",1992,5.53239996159239
"Bottom","no","ssp126","Mean temp Feb to April",1993,4.79216828415516
"Bottom","no","ssp126","Mean temp Feb to April",1994,5.61154532828448
"Bottom","no","ssp126","Mean temp Feb to April",1995,4.98960080547081
"Bottom","no","ssp126","Mean temp Feb to April",1996,4.93177304460901
"Bottom","no","ssp126","Mean temp Feb to April",1997,4.93114658108545
"Bottom","no","ssp126","Mean temp Feb to April",1998,6.50933576718037
"Bottom","no","ssp126","Mean temp Feb to April",1999,5.92398251071374
"Bottom","no","ssp126","Mean temp Feb to April",2000,6.71416842207287
"Bottom","no","ssp126","Mean temp Feb to April",2001,6.31254110659939
"Bottom","no","ssp126","Mean temp Feb to April",2002,6.83188772289563
"Bottom","no","ssp126","Mean temp Feb to April",2003,6.04041587013968
"Bottom","no","ssp126","Mean temp Feb to April",2004,6.78401408834347
"Bottom","no","ssp126","Mean temp Feb to April",2005,6.08957776988702
"Bottom","no","ssp126","Mean temp Feb to April",2006,6.12941846481713
"Bottom","no","ssp126","Mean temp Feb to April",2007,5.45281464581008
"Bottom","no","ssp126","Mean temp Feb to April",2008,4.89539342124005
"Bottom","no","ssp126","Mean temp Feb to April",2009,6.17012355012077
"Bottom","no","ssp126","Mean temp Feb to April",2010,6.23097845651923
"Bottom","no","ssp126","Mean temp Feb to April",2011,6.5484718572234
"Bottom","no","ssp126","Mean temp Feb to April",2012,6.606552343466
"Bottom","no","ssp126","Mean temp Feb to April",2013,6.3150184054251
"Bottom","no","ssp126","Mean temp Feb to April",2014,4.94480966313809
"Bottom","no","ssp126","Mean temp Feb to April",2015,4.02576269425162
"Bottom","no","ssp126","Mean temp Feb to April",2016,5.21290056268119
"Bottom","no","ssp126","Mean temp Feb to April",2017,7.81240479394738
"Bottom","no","ssp126","Mean temp Feb to April",2018,5.09358526885652
"Bottom","no","ssp126","Mean temp Feb to April",2019,6.04963068855487
"Bottom","no","ssp126","Mean temp Feb to April",2020,6.58549188042017
"Bottom","no","ssp126","Mean temp Feb to April",2021,7.02988438933259
"Bottom","no","ssp126","Mean temp Feb to April",2022,5.28097805446177
"Bottom","no","ssp126","Mean temp Feb to April",2023,4.77920356835748
"Bottom","no","ssp126","Mean temp Feb to April",2024,5.46388946861949
"Bottom","no","ssp126","Mean temp Feb to April",2025,5.79886697711107
"Bottom","no","ssp126","Mean temp Feb to April",2026,7.3555358785694
"Bottom","no","ssp126","Mean temp Feb to April",2027,7.03699354509084
"Bottom","no","ssp126","Mean temp Feb to April",2028,6.10375749825593
"Bottom","no","ssp126","Mean temp Feb to April",2029,7.39135509932438
"Bottom","no","ssp126","Mean temp Feb to April",2030,7.6986498355784
"Bottom","no","ssp126","Mean temp Feb to April",2031,7.6801483534886
"Bottom","no","ssp126","Mean temp Feb to April",2032,6.17166288061143
